"id","name","exercise_type","duration_minutes","intensity","met_value","glucose_benefit","equipment_needed","setting","timing","burnout_cost","description"
"ex001","3-min brisk walk","walk",3,"low",3.5,"high","none","anywhere","post_meal",1,"Walk briskly for three minutes to help manage glucose."
"ex002","10-min walk","walk",10,"low",3.5,"high","none","anywhere","post_meal",2,"Enjoy a ten minute steady walk after your meal."
"ex003","30-min walk","walk",30,"low",3.5,"high","none","outdoor","anytime",4,"Take a thirty minute walk at a comfortable pace."
"ex004","Stair climb 2 floors","walk",3,"medium",4.0,"high","none","indoor","post_meal",2,"Climb two flights of stairs to activate your leg muscles."
"ex005","Chair yoga","yoga",10,"low",2.5,"medium","none","indoor","anytime",1,"Perform gentle yoga stretches while seated in a chair."
"ex006","Deep breathing 4-7-8","breathing",3,"very_low",1.0,"low","none","anywhere","post_meal",1,"Inhale 4s hold 7s exhale 8s for relaxation."
"ex007","Surya namaskar 5 rounds","yoga",10,"medium",5.0,"medium","mat","indoor","pre_meal",5,"Complete five rounds of sun salutations to energize your body."
"ex008","Bodyweight squats 10 reps","strength",5,"medium",5.0,"high","none","anywhere","post_meal",4,"Perform ten controlled squats to engage large muscle groups."
"ex009","Wall push-ups 10 reps","strength",5,"low",3.5,"high","none","indoor","anytime",3,"Push away from a wall ten times to build strength."
"ex010","HIIT 20 min","hiit",20,"high",8.0,"high","none","indoor","pre_meal",9,"High intensity intervals for twenty minutes to maximize calorie burn."
"ex011","Stationary cycling 15 min","hiit",15,"high",6.0,"high","gym","indoor","anytime",6,"Cycle at a moderate pace for fifteen minutes on a bike."
"ex012","Progressive muscle relaxation","breathing",10,"very_low",1.5,"low","none","indoor","anytime",1,"Tense and release each muscle group slowly for relaxation."
"ex013","Warrior pose","yoga",5,"low",3.0,"medium","mat","indoor","anytime",3,"Hold a strong warrior stance to improve balance and strength."
"ex014","Tree pose","yoga",5,"very_low",2.0,"medium","none","anywhere","anytime",2,"Balance on one leg to improve focus and stability."
"ex015","Seated forward bend","yoga",5,"very_low",2.0,"medium","mat","indoor","anytime",2,"Stretch your spine and hamstrings while sitting on the floor."
"ex016","Pranayama breathing","breathing",5,"very_low",1.2,"low","none","anywhere","anytime",1,"Practice alternate nostril breathing to calm the nervous system."
"ex017","Marching in place","walk",5,"low",3.2,"high","none","indoor","post_meal",2,"Lift your knees high while marching on the spot."
"ex018","Slow evening stroll","walk",15,"low",2.8,"high","none","outdoor","anytime",2,"Walk at a relaxed pace to unwind in the evening."
"ex019","Arm raises with water bottles","strength",5,"low",2.6,"high","none","indoor","anytime",2,"Lift water bottles to strengthen your shoulder muscles."
"ex020","Calf raises 15 reps","strength",3,"low",3.0,"high","none","anywhere","post_meal",2,"Stand on your toes and lower slowly to build muscles."
"ex021","Glute bridges 10 reps","strength",5,"low",3.0,"high","mat","indoor","anytime",3,"Lift your hips while lying down to strengthen your glutes."
"ex022","Box breathing","breathing",4,"very_low",1.0,"low","none","anywhere","anytime",1,"Inhale hold exhale hold for 4 seconds each."
"ex023","Abdominal breathing","breathing",5,"very_low",1.0,"low","none","anywhere","post_meal",1,"Breathe deeply into your belly to promote relaxation and digestion."
"ex024","Kitchen walk","walk",2,"low",2.7,"high","none","indoor","post_meal",1,"Take a short walk around your kitchen after eating."
"ex025","Light stretching","yoga",5,"very_low",2.0,"medium","none","anywhere","post_meal",1,"Perform gentle stretches to improve flexibility after a meal."
"ex026","Standing side stretch","yoga",3,"very_low",2.2,"medium","none","anywhere","anytime",1,"Reach overhead and lean to each side for a stretch."
"ex027","Desk push-ups 10 reps","strength",3,"medium",4.5,"high","none","indoor","anytime",4,"Use a sturdy desk for incline push-ups to build strength."
"ex028","Reverse lunges 10 reps","strength",5,"medium",5.0,"high","none","anywhere","anytime",5,"Step back and lower your hips for a leg workout."
"ex029","Wall sit 30 seconds","strength",2,"medium",4.5,"high","none","indoor","post_meal",4,"Lean against a wall in a squat position and hold."
"ex030","Ankle circles","yoga",2,"very_low",1.5,"medium","none","anywhere","anytime",1,"Rotate your ankles in circles while sitting or standing."
