id,user_id,exercise_id,interaction_type,duration_actual_minutes,glucose_delta_after,burnout_score_at_time,context_sleep_score,context_steps_today
8688c941-0876-437e-8432-4156d78dcbcd,user_001,ex021,completed,5,-18.0,7,0.42,1850
f464a882-189a-4c92-a62d-83f10950c3e3,user_001,ex016,modified,2,-0.3,7,0.42,1850
cee11759-e054-43d9-a708-77f5705554bd,user_001,ex015,completed,5,-9.5,7,0.42,1850
7743bec2-d009-45f8-b161-371d0adf5b84,user_001,ex020,completed,3,-23.9,7,0.42,1850
c7137ce0-42c4-480f-bdfa-a6188b5c2d22,user_001,ex025,completed,5,-8.2,7,0.42,1850
0e217fc7-72a9-4605-af2e-e13302da51e1,user_001,ex030,completed,2,-14.9,7,0.42,1850
234177af-cc02-48e6-8d9e-bd501d48bb19,user_001,ex009,modified,2,-11.3,7,0.42,1850
25a4bfb3-3726-4186-8ee4-759b7a9aec66,user_001,ex022,modified,2,-2.0,7,0.42,1850
8734c9d4-5d3f-4538-af33-dd9057d126e2,user_001,ex013,completed,5,-9.1,7,0.42,1850
b85dac60-aaf9-4895-8f16-5a1ed16ba12d,user_001,ex004,completed,3,-27.9,7,0.42,1850
136b130a-ef0d-4de6-96b0-71d29f950206,user_001,ex001,completed,3,-25.0,7,0.42,1850
19219088-0b45-4c0e-8441-8012cee7c908,user_001,ex012,completed,10,-4.4,7,0.42,1850
b1f8466e-7968-435b-934e-0181059c8f49,user_001,ex021,completed,5,-26.2,7,0.42,1850
8de2a903-cf9f-47ea-9294-b8b0317bd798,user_001,ex019,modified,2,-9.5,7,0.42,1850
fc928a2a-d858-4e27-b23a-7339e288c122,user_001,ex004,completed,3,-23.0,7,0.42,1850
1e1441a8-567f-4400-9a63-b93dbc8406b7,user_001,ex021,completed,5,-20.5,7,0.42,1850
92d8916d-e59e-4d8b-8001-0fe5d6531bdd,user_001,ex020,modified,1,-12.8,7,0.42,1850
303fc895-f371-4ca7-a80b-1c3f241c49e9,user_001,ex018,completed,15,-22.3,7,0.42,1850
